temperature,rainfall,humidity
25,76,99
39,65,70
59,45,77
84,63,38
66,50,52
41,94,77
91,57,96
49,96,99
67,20,28
85,31,95
78,46,34
31,40,63
52,77,85
28,66,77
32,50,57
31,79,53
45,76,48
80,52,27
24,45,90
20,89,84
32,20,96
56,44,74
93,70,80
62,87,73
85,48,90
87,86,93
43,57,69
28,71,44
44,95,58
88,48,46
80,50,38
27,75,89
93,61,73
31,87,62
38,94,44
55,93,55
56,22,47
38,64,79
26,22,40
27,98,24
55,37,38
63,69,46
21,34,21
31,89,85
45,69,91
48,86,77
27,51,27
40,47,88
29,45,69
35,55,85
62,43,58
67,95,54
35,46,55
36,75,28
97,62,87
29,52,25
31,26,72
94,100,59
47,52,76
46,52,70
40,68,72
35,27,84
69,96,29
69,57,52
33,45,71
88,95,82
48,90,69
55,78,66
28,44,67
34,58,27
62,46,89
92,78,89
20,69,70
88,49,65
56,83,36
51,67,54
47,50,71
32,94,71
33,21,96
100,81,69
31,58,22
74,96,33
79,98,99
49,76,38
78,51,79
28,51,62
43,49,55
73,62,50
41,59,78
44,31,52
29,97,29
38,75,60
68,60,29
46,71,37
44,39,49
25,78,31
52,84,47
20,98,71
99,47,67
68,83,94
38,90,20
99,67,43
53,71,39
85,30,49
90,20,43
62,67,38
81,81,78
23,69,65
86,66,22
58,89,76
28,51,88
98,33,76
41,22,84
52,69,60
46,68,38
87,35,54
37,76,74
86,80,40
57,86,45
31,94,87
45,31,46
26,20,31
56,36,68
96,96,48
35,57,23
51,28,78
44,40,78
69,44,78
52,29,84
49,91,85
44,45,51
92,48,78
37,30,42
62,34,59
66,71,61
100,77,20
95,30,25
86,45,100
70,60,99
37,36,55
50,33,26
33,40,64
86,98,25
57,75,21
53,24,73
34,78,23
55,45,42
89,84,82
68,47,84
48,87,38
45,67,67
44,29,77
79,72,58
31,70,96
31,73,49
92,56,85
69,60,85
66,26,35
94,81,79
29,71,65
23,97,21
74,64,85
39,86,76
22,83,52
32,21,59
37,87,61
29,85,64
94,72,48
85,83,73
48,65,25
50,91,77
23,36,40
46,72,51
90,68,95
47,58,32
80,85,85
73,76,36
26,89,95
84,27,37
55,37,57
41,97,59
30,21,41
24,62,32
73,58,73
57,82,67
66,30,60
36,87,41
96,25,86
45,89,20
46,72,64
77,77,75
29,65,62
80,44,90
43,25,94
55,86,76
45,53,77
35,85,38
63,38,22
36,87,59
92,22,32
100,58,90
31,98,78
86,21,82
35,56,60
